Types,Mut_burden,log10BURDENpMB
LYM,6,0.0
LYM,6,0.0
LYM,6,0.0
LYM,6,0.0
LYM,6,0.0
LYM,5,-0.0791812460476248
LYM,4,-0.17609125905568127
LYM,4,-0.17609125905568127
LYM,3,-0.3010299956639812
LYM,3,-0.3010299956639812
LYM,2,-0.47712125471966244
LYM,2,-0.47712125471966244
LYM,2,-0.47712125471966244
LYM,2,-0.47712125471966244
LYM,1,-0.7781512503836436
LYM,1,-0.7781512503836436
LYM,1,-0.7781512503836436
LYM,1,-0.7781512503836436
LYM,1,-0.7781512503836436
MAM,56,0.9700367766225568
MAM,14,0.36797678529459443
MAM,12,0.3010299956639812
MAM,11,0.2632414347745814
MAM,11,0.2632414347745814
MAM,10,0.2218487496163564
MAM,10,0.2218487496163564
MAM,10,0.2218487496163564
MAM,9,0.17609125905568124
MAM,9,0.17609125905568124
MAM,9,0.17609125905568124
MAM,8,0.12493873660829993
MAM,8,0.12493873660829993
MAM,8,0.12493873660829993
MAM,8,0.12493873660829993
MAM,8,0.12493873660829993
MAM,7,0.06694678963061322
MAM,6,0.0
MAM,6,0.0
MAM,6,0.0
MAM,6,0.0
MAM,6,0.0
MAM,5,-0.0791812460476248
MAM,5,-0.0791812460476248
MAM,5,-0.0791812460476248
MAM,5,-0.0791812460476248
MAM,5,-0.0791812460476248
MAM,5,-0.0791812460476248
MAM,5,-0.0791812460476248
MAM,5,-0.0791812460476248
MAM,4,-0.17609125905568127
MAM,4,-0.17609125905568127
MAM,4,-0.17609125905568127
MAM,4,-0.17609125905568127
MAM,4,-0.17609125905568127
MAM,4,-0.17609125905568127
MAM,4,-0.17609125905568127
MAM,3,-0.3010299956639812
MAM,3,-0.3010299956639812
MAM,3,-0.3010299956639812
MAM,3,-0.3010299956639812
MAM,3,-0.3010299956639812
MAM,3,-0.3010299956639812
MAM,2,-0.47712125471966244
MAM,2,-0.47712125471966244
MAM,1,-0.7781512503836436
CRC,77,1.1083394747888382
CRC,74,1.0910804693473326
CRC,13,0.3357921019231931
CRC,12,0.3010299956639812
CRC,11,0.2632414347745814
CRC,9,0.17609125905568124
CRC,8,0.12493873660829993
CRC,8,0.12493873660829993
CRC,7,0.06694678963061322
CRC,7,0.06694678963061322
CRC,7,0.06694678963061322
CRC,7,0.06694678963061322
CRC,7,0.06694678963061322
CRC,6,0.0
CRC,6,0.0
CRC,5,-0.0791812460476248
CRC,5,-0.0791812460476248
CRC,5,-0.0791812460476248
CRC,4,-0.17609125905568127
CRC,4,-0.17609125905568127
CRC,4,-0.17609125905568127
CRC,4,-0.17609125905568127
CRC,4,-0.17609125905568127
CRC,3,-0.3010299956639812
CRC,2,-0.47712125471966244
CRC,1,-0.7781512503836436
CRC,1,-0.7781512503836436
CRC,1,-0.7781512503836436
